"Data Broker Name","Email Address","Website URL","Physical Address","How a consumer may opt out of sale or submit requests under the CCPA","How a protected individual can demand deletion of information posted online under Gov. Code sections 6208.1(b) or 6254.21(c)(1)","Additional information about data collecting practices","Date Added"
"Allant Group, LLC","privacy [at] allantgroup.com","http://www.allantgroup.com/","2655 Warrenville Rd, Suite 200, Downers Grover, IL 60515, United States","Notify Allant Group, LLC using instructions in Privacy Policy at www.allantgroup.com, emailing privacy@allantgroup.com, or by calling (800) 367-7311.","Notify Allant Group, LLC using instructions in Privacy Policy at www.allantgroup.com, emailing privacy@allantgroup.com, or by calling (800) 367-7311.","Allant does not collect consumer data directly. When we use third party data we adhere to the terms and conditions defined by those parties.","01/29/2020"
"Infutor Data Solutions LLC","infutorvendorinfo [at] infutor.com","https://infutor.com/","One Lincoln Center, 18W140 Butterfield Rd. Ste 1020, Oakbrook Terrace, IL 60181, United States","Consumers should go to https://privacy.infutor.com/ to submit CCPA requests. Consumers may also call (866) 207-1399 or email compliance@infutor.com","Consumers should go to https://privacy.infutor.com/ to submit CCPA requests. Consumers may also call (866) 207-1399 or email compliance@infutor.com","","01/21/2020"
"Otonomo Inc. ","privacy [at] otonomo.io","https://otonomo.io/privacy-policy/","889 Winslow Street Suite 500, Redwood City, CA 94062, United States","","","","02/07/2020"
"ASLMarketing Inc.","JKaye [at] aslmarketing.com","http://ASLmarketing.com","500 Bi County Boulevard, Suite 460, Farmingdale, NY 11735, United States","Effective, January 2020, in compliance with the California Consumer Privacy Act, we provide California residents enhanced opportunities to obtain (and if they so choose, correct) their data files, by making verified access requests to us.  , , When we receive a consumer’s do not sell request, once verified, the entire data file is removed from our active databases entirely and no longer disclosed to our third party providers; we maintain those names in a suppression file., , Consumers are able to request that we delete their data files that we hold by contacting us by phone, mail, or email.  Our privacy policy includes links to an email where consumers can contact ASL and provides all the necessary contact information and directions to make such a request., , https://aslmarketing.com/opt-out/, ","ASL does not engage in the practice of publicly displaying or permitting the display of such information.  Additionally, we do no operate a website that involves user generated content.","","02/07/2020"
"Lead Intelligence, Inc. d/b/a Jornaya","hsebes [at] jornaya.com","http://jornaya.com","1001 E. Hector Street, Suite 230, Conshohocken, PA 19428, United States","We provide information within our Consumer Privacy Policy with a dedicated email address for submitting requests under the CCPA. In addition, within our main website, we provide a DO NOT SELL MY INFO button which takes the requestor to our Privacy and Terms page where we have our main terms of use, privacy policies and also the request form for submitting any requests under the CCPA.  Jornaya’s privacy policies and request form can also be accessed through this URL:  https://www.jornaya.com/terms-and-policies.","We do not post data online, so this section is not applicable; for more information, please visit our main Terms and Privacy page which can be accessed through this URL:  https://www.jornaya.com/terms-and-policies.","Our updated Privacy Policies, along with our Terms of Use, apply for all constituents with whom we may have direct or indirect access under the CCPA. The URL to our main Terms and Privacy Page, which also contains the request form for submitting any requests under the CCPA is here:  https://www.jornaya.com/terms-and-policies.","03/03/2020"
"Conversant LLC","privacy [at] conversantmedia.com","https://www.conversantmedia.com/","101 N. Wacker Dr., Suite 2300, Chicago, IL 60606, United States","California residents may opt out of the sale of their personal information by submitting an online request at https://www.conversantmedia.com/privacy/opt-out and may submit data access and deletion requests at https://www.conversantmedia.com/dsr. ","Conversant does not receive or maintain any home addresses or telephone numbers for any individual.","More information about Conversant’s data collecting practices can be found at https://www.conversantmedia.com/legal/privacy.","07/22/2020"
"Apollo Program LLC","privacy [at] apolloprogram.com","http://www.apolloprogram.com","536 Broadway, Floor 9, New York, NY 10012, United States","","","","08/11/2020"
"Engagement Media Company, LLC","rwright [at] engagementmediaco.com","http://engagementmediaco.com","888 W. Big Beaver Road, Suite 360, Troy, MI 48084, United States","We have an opt-out button that is prominently displayed on our home page, under the label ""Do not sell my personal information""","We have an opt-out button that is prominently displayed on our home page, under the label ""Do not sell my personal information""","","03/03/2020"
"Big Brook Media, LLC","info [at] littlebrookmedia.com","http://www.littlebrookmedia.com","20 South Main Street, New City, NY 10956, United States","Contact the Company","Contact the Company","","02/07/2020"
"Economic Modeling, LLC","legal [at] economicmodeling.com","https://www.economicmodeling.com/","409 S. Jackson St., Moscow, ID 83843, United States"," https://www.economicmodeling.com/privacy-policy/"," https://www.economicmodeling.com/privacy-policy/","","02/12/2020"
"Inmar-OIQ, LLC","privacy [at] owneriq.com","http://www.owneriq.com","635 Vine Street, Winston-Salem, NC 27101, United States","The consumer can opt out by clicking on the Do Not Sell opt out link on our website and in our privacy notice, under ""California Rights"" section.","The consumer can make a deletion request through the form listed in our privacy notice on our website, under ""California Rights"" section.","","03/03/2020"
"Retargetly LLC","privacy [at] retargetly.com","https://retargetly.com","1201 N Orange St, Suite 700 #7352, Wilmington, DE 19801-1186, United States","For simple online opt-out visit https://retargetly.com/optout and for additional requests please email us at privacy@retargetly.com","Please send us an email at privacy@retargetly.com","Please visit https://retargetly.com/privacy-policy","06/16/2020"
"Traverse Data, Inc.","privacy [at] traversedata.com","http://www.traversedata.com","113 Cherry Street, #66106, Seattle, WA 98104, United States","Requests to know methods include a toll-free number and our web form., Requests to delete methods include a toll-free number, webform, email, and physical mail., Requests to opt out include a link on our website, and also our web form plus email, physical mail, etc.","Requests to delete methods include a toll-free number, webform, email, and physical mail. The web form can be found here: http://www.traversedata.com/contact?form=privacy","","02/12/2020"
"Job Market Maker, LLC dba Engage Talent","dataprivacy [at] workforcelogiq.com","https://www.engagetalent.com/","420 S. ORANGE AVE #600, ORLANDO, FL 32750, United States","You may locate information about our CCPA policies and options by reviewing ""Your California Privacy Rights"" on our privacy page at https://www.engagetalent.com/privacy-policy.","You may locate information about our CCPA policies and options by reviewing ""Your California Privacy Rights"" on our privacy page at https://www.engagetalent.com/privacy-policy.","","03/23/2020"
"Search Quarry LLC","admin [at] searchquarry.com","https://www.searchquarry.com","1 East Liberty Street, Suite 600, Reno, NV 89501, United States","A consumer may opt out via an online form, email, phone or fax.","A consumer may opt out via an online form, email, phone or fax.","","02/27/2020"
"BIGtoken, Inc.","support [at] bigtoken.com","http://bigtoken.com","456 Seaton Street, Los Angeles, CA 90013, United States","They can submit a request through our website at bigtoken.com or use the ""delete data"" button in the BIGtoken application.","They can submit a request through our website at bigtoken.com or use the ""delete data"" button in the BIGtoken application.","None.","02/27/2020"
"SRAX, Inc.","contact [at] srax.com","http://srax.com","456 Seaton Street, Los Angeles, CA 90013, United States","They can submit a request through our website at srax.com.","They can submit a request through our website at srax.com.","None.","02/27/2020"
"Amobee, Inc.","amobeeprivacy [at] amobee.com","https://www.amobee.com/","10201 Wateridge Circle, Suite 400, San Diego, CA 92129, United States","Please visit our Consumer Opt Opt page here: https://www.amobee.com/trust/consumer-opt-out/","Please visit our CCPA portal here: https://www.amobee.com/ccpa/","Please review our Privacy Guidelines here: https://www.amobee.com/trust/privacy-guidelines/","03/03/2020"
