Fraud Categories by Total Amount Lost,,,,,,
,,,,,,
Category,Total $ Loss, Median $ Loss , # of Reports ,% Reportin $ Loss,Top Contact Method per Category,Top Payment Method per Category
Imposter Scams,"$328,423,263", $500 ," 347,829 ",19%,Phone Call,Wire Transfer
"Prizes, Sweepstakes and Lotteries","$95,052,359", $511 ," 142,870 ",9%,Phone Call,Wire Transfer
Shop-at-Home and Catalog Sales,"$94,117,967", $261 ," 126,387 ",58%,Email,Wire Transfer
Investment Related,"$47,697,104", $400 ," 15,079 ",46%,Consumer Initiated Contact,Wire Transfer
Business and Job Opportunities,"$46,914,979"," $1,063 "," 18,702 ",34%,Email,Wire Transfer
"Travel, Vacations and Timeshare Plans","$38,454,908"," $1,710 "," 22,264 ",18%,Phone Call,Credit Card
Foreign Money Offers and Counterfeit Check Scams,"$34,343,296"," $1,008 "," 31,980 ",33%,Mail,Wire Transfer
Internet Services,"$19,397,434", $183 ," 45,093 ",14%,Consumer Initiated Contact,Credit Card
Mortgage Foreclosure Relief and Debt Management,"$17,179,967"," $1,200 "," 8,973 ",31%,Phone Call,Bank Account Debit
Telephone and Mobile Services,"$16,920,319", $223 ," 149,578 ",4%,Text Message,Credit Card
Advance Payments for Credit Services,"$14,904,565", $318 ," 17,762 ",74%,Phone Call,Wire Transfer
Grants,"$6,256,020", $495 ," 5,786 ",33%,Phone Call,Wire Transfer
Internet Auction,"$3,575,719", $400 ," 2,267 ",35%,Web Site,Credit Card
Charitable Solicitations,"$2,536,033", $250 ," 3,703 ",27%,Phone Call,Wire Transfer
Health Care,"$1,410,104", $175 ," 10,321 ",8%,Consumer Initiated Contact,Credit Card
Office Supplies and Services,"$621,483", $525 ," 7,083 ",4%,Mail,Credit Card
Tax Preparers,"$484,437", $500 ," 3,360 ",5%,Phone Call,Other
Magazines and Books,"$373,093", $89 ," 5,099 ",8%,Mail,Credit Card
Buyers' Clubs,"$29,609", $200 , 542 ,4%,Mail,Credit Card
,,,,,,
,,,,,,
,,,,,,
"Of the 1,138,306 total fraud reports, 21% reported a monetary loss of at least one dollar, 64% reported the contact method, and 21% reported the payment method.",,,,,,
,,,,,,
,,,,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,,,,
