Fraud Reports by Amount Lost,,,,,,,,,,
,,,,,,,,,,
Number of Fraud Reports,"1,138,306",,,,,,,,,
Reports with $ Loss,"242,527",21% of the total,,,,,,,,
Total $ Loss,"$904,689,044 ",,,,,,,,,
Median $ Loss,$429 ,,,,,,,,,
,,,,,,,,,,
"Reported Fraud Losses in $1 - $10,000 + Range",,,,,,,,,,
Amount Lost,# of Reports,,,,,,,,,
"$1 - $1,000","177,923",,,,,,,,,
"$1,001 - $2,000","27,040",,,,,,,,,
"$2,001 - $3,000","11,436",,,,,,,,,
"$3,001 - $4,000","4,834",,,,,,,,,
"$4,001 - $5,000","3,464",,,,,,,,,
"$5,001 - $6,000","1,991",,,,,,,,,
"$6,001 - $7,000","1,437",,,,,,,,,
"$7,001 - $8,000","1,362",,,,,,,,,
"$8,001 - $9,000","1,026",,,,,,,,,
"$9,001 - $10,000","1,457",,,,,,,,,
"More than $10,000","10,573",,,,,,,,,
,,,,,,,,,,
$1-$1000 Range,,,,,,,,,,
Amount Lost ,# of Reports,,,,,,,,,
$1 - $100,"40,549",,,,,,,,,
$101 - $200,"33,354",,,,,,,,,
$201 - $300,"25,783",,,,,,,,,
$301 - $400,"18,241",,,,,,,,,
$401 - $500,"18,625",,,,,,,,,
$501 - $600,"11,233",,,,,,,,,
$601 - $700,"8,168",,,,,,,,,
$701 - $800,"7,619",,,,,,,,,
$801 - $900,"5,994",,,,,,,,,
"$901 - $1,000","8,357",,,,,,,,,
,,,,,,,,,,
"The amount lost is based on reports in which consumers indicated they lost between $1 and $999,999. ",,,,,,,,,,
,,,,,,,,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,,,,,,,,
