Identity Theft Reports by Age,,,,IDT Theft Type by Age,,
,,,,,,
Age Range,# of Reports,,,Age Range,Theft Type,# of Reports
19 and Under,"13,852",,,19 and Under,Bank Fraud,"1,299"
20 - 29,"61,114",,,19 and Under,Credit Card Fraud,"1,497"
30 - 39,"80,467",,,19 and Under,Employment or Tax-Related Fraud,"7,882"
40 - 49,"70,264",,,19 and Under,Government Documents or Benefits Fraud,996
50 - 59,"63,004",,,19 and Under,Loan or Lease Fraud,799
60 - 69,"45,787",,,19 and Under,Other Identity Theft,"1,821"
70 - 79,"15,979",,,19 and Under,Phone or Utilities Fraud,978
80 and Over,"5,359",,,20 - 29,Bank Fraud,"8,455"
,,,,20 - 29,Credit Card Fraud,"18,512"
,,"Of the 371,061 total identity theft reports in 2017, 96% included consumer age information.",,20 - 29,Employment or Tax-Related Fraud,"14,494"
,,,,20 - 29,Government Documents or Benefits Fraud,"2,919"
,,,,20 - 29,Loan or Lease Fraud,"6,746"
,,,,20 - 29,Other Identity Theft,"11,675"
,,,,20 - 29,Phone or Utilities Fraud,"11,785"
,,,,30 - 39,Bank Fraud,"10,782"
,,,,30 - 39,Credit Card Fraud,"31,064"
,,,,30 - 39,Employment or Tax-Related Fraud,"16,055"
,,,,30 - 39,Government Documents or Benefits Fraud,"4,350"
,,,,30 - 39,Loan or Lease Fraud,"8,190"
,,,,30 - 39,Other Identity Theft,"14,775"
,,,,30 - 39,Phone or Utilities Fraud,"14,696"
,,,,40 - 49,Bank Fraud,"9,622"
,,,,40 - 49,Credit Card Fraud,"26,816"
,,,,40 - 49,Employment or Tax-Related Fraud,"14,728"
,,,,40 - 49,Government Documents or Benefits Fraud,"4,820"
,,,,40 - 49,Loan or Lease Fraud,"6,035"
,,,,40 - 49,Other Identity Theft,"11,847"
,,,,40 - 49,Phone or Utilities Fraud,"10,928"
,,,,50 - 59,Bank Fraud,"8,532"
,,,,50 - 59,Credit Card Fraud,"23,864"
,,,,50 - 59,Employment or Tax-Related Fraud,"14,303"
,,,,50 - 59,Government Documents or Benefits Fraud,"4,622"
,,,,50 - 59,Loan or Lease Fraud,"3,997"
,,,,50 - 59,Other Identity Theft,"9,978"
,,,,50 - 59,Phone or Utilities Fraud,"7,851"
,,,,60 - 69,Bank Fraud,"6,530"
,,,,60 - 69,Credit Card Fraud,"17,593"
,,,,60 - 69,Employment or Tax-Related Fraud,"9,486"
,,,,60 - 69,Government Documents or Benefits Fraud,"5,118"
,,,,60 - 69,Loan or Lease Fraud,"2,112"
,,,,60 - 69,Other Identity Theft,"6,494"
,,,,60 - 69,Phone or Utilities Fraud,"4,660"
,,,,70 - 79,Bank Fraud,"2,589"
,,,,70 - 79,Credit Card Fraud,"6,873"
,,,,70 - 79,Employment or Tax-Related Fraud,"2,238"
,,,,70 - 79,Government Documents or Benefits Fraud,"1,407"
,,,,70 - 79,Loan or Lease Fraud,663
,,,,70 - 79,Other Identity Theft,"2,546"
,,,,70 - 79,Phone or Utilities Fraud,"1,768"
,,,,80+,Bank Fraud,947
,,,,80+,Credit Card Fraud,"2,257"
,,,,80+,Employment or Tax-Related Fraud,619
,,,,80+,Government Documents or Benefits Fraud,704
,,,,80+,Loan or Lease Fraud,205
,,,,80+,Other Identity Theft,838
,,,,80+,Phone or Utilities Fraud,522
,,,,,,
,,,,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,,,,
