Metropolitan Areas: Identity Theft Reports,,,
,,,
Rank,Metropolitan Area,Reports per 100K Population,# of Reports
1,"Ann Arbor, MI Metropolitan Statistical Area",256,932
2,"Sebastian-Vero Beach, FL Metropolitan Statistical Area",196,297
3,"Sumter, SC Metropolitan Statistical Area",192,206
4,"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",191,"11,606"
5,"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",184,"7,917"
6,"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",162,"21,564"
7,"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",161,"3,938"
8,"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",161,"3,192"
9,"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",160,583
10,"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",159,"7,450"
11,"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",159,"11,506"
12,"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",156,"9,010"
13,"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",155,"1,628"
14,"Ponce, PR Metropolitan Statistical Area",155,479
15,"Punta Gorda, FL Metropolitan Statistical Area",154,275
16,"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",145,"3,122"
17,"Bakersfield, CA Metropolitan Statistical Area",145,"1,279"
18,"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",142,"4,317"
19,"Jacksonville, FL Metropolitan Statistical Area",142,"2,104"
20,"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",141,"13,412"
21,"Napa, CA Metropolitan Statistical Area",141,200
22,"Tallahassee, FL Metropolitan Statistical Area",140,530
23,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",139,"8,444"
24,"Lansing-East Lansing, MI Metropolitan Statistical Area",137,653
25,"Niles-Benton Harbor, MI Metropolitan Statistical Area",137,211
26,"Kalamazoo-Portage, MI Metropolitan Statistical Area",137,461
27,"California-Lexington Park, MD Metropolitan Statistical Area",137,154
28,"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",137,988
29,"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",137,"1,077"
30,"Gainesville, FL Metropolitan Statistical Area",136,382
31,"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",136,"9,180"
32,"Vallejo-Fairfield, CA Metropolitan Statistical Area",135,593
33,"Sacramento-Roseville-Arden-Arcade, CA Metropolitan Statistical Area",135,"3,090"
34,"Fresno, CA Metropolitan Statistical Area",133,"1,305"
35,"San Diego-Carlsbad, CA Metropolitan Statistical Area",132,"4,395"
