Number of Reports by Type,,,
,,,
Year, Fraud , Identity Theft , Other 
2001," 137,306 "," 86,250 "," 101,963 "
2002," 242,783 "," 161,977 "," 146,862 "
2003," 331,366 "," 215,240 "," 167,051 "
2004," 410,298 "," 246,909 "," 203,176 "
2005," 437,585 "," 255,687 "," 216,042 "
2006," 423,672 "," 246,214 "," 236,243 "
2007," 505,563 "," 259,314 "," 305,570 "
2008," 620,832 "," 314,587 "," 325,705 "
2009," 708,781 "," 278,360 "," 441,836 "
2010," 820,072 "," 251,074 "," 399,160 "
2011," 1,041,517 "," 279,191 "," 577,835 "
2012," 1,112,693 "," 369,958 "," 632,428 "
2013," 1,159,115 "," 290,098 "," 685,352 "
2014," 1,513,794 "," 332,647 "," 744,704 "
2015," 1,143,422 "," 490,226 "," 1,401,977 "
2016," 1,194,719 "," 399,222 "," 1,390,102 "
2017," 1,138,306 "," 371,061 "," 1,166,244 "
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
