Report Type,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Report Type,# of Reports,,,Rank,Category, # of Reports  ,% Reporting $ Loss, Median $ Loss , Total $ Loss 
Fraud,"1,138,306",,,1,Imposter Scams," 347,829 ",19%, $500.00 , $328M 
Identity Theft,"371,061",,,2,Telephone and Mobile Services," 149,578 ",4%, $223.00 , $17M 
Other,"1,166,244",,,3,"Prizes, Sweepstakes and Lotteries"," 142,870 ",9%, $511.00 , $95M 
,,,,4,Shop-at-Home and Catalog Sales," 126,387 ",58%, $261.00 , $94M 
,,,,5,Internet Services," 45,093 ",14%, $183.00 , $19M 
,,,,6,Foreign Money Offers & Counterfeit Check Scams," 31,980 ",33%," $1,008.00 ", $34M 
,,,,7,"Travel, Vacations and Timeshare Plans"," 22,264 ",18%," $1,710.00 ", $38M 
,,,,8,Business and Job Opportunities," 18,702 ",34%," $1,063.00 ", $47M 
,,,,9,Advance Payments for Credit Services," 17,762 ",74%, $318.00 , $15M 
,,,,10,Health Care," 10,321 ",8%, $175.00 , $1M 
,,,,,,,,,
,,,,,,,,,
,,,,Rank, Theft Type , # of Reports ,,,
,,,,1, Credit Card Fraud ," 133,015 ",,,
,,,,2, Employment or Tax-Related Fraud ," 82,051 ",,,
,,,,3, Other Identity Theft ," 65,208 ",,,
,,,,4, Phone or Utilities Fraud ," 55,045 ",,,
,,,,5, Bank Fraud ," 50,517 ",,,
,,,,6, Loan or Lease Fraud ," 30,034 ",,,
,,,,7, Government Documents or Benefits Fraud ," 25,849 ",,,
,,,,,,,,,
,,,,,,,,,
,,,,Rank,Category,# of Reports,,,
,,,,1,Debt Collection,"608,535",,,
,,,,2,Banks and Lenders,"149,316",,,
,,,,3,"Credit Bureaus, Information Furnishers, Report Users","107,473",,,
,,,,4,Auto Related,"86,289",,,
,,,,5,Television and Electronic Media,"47,456",,,
,,,,6,Credit Cards,"45,428",,,
,,,,7,Computer Equipment and Software,"9,762",,,
,,,,8,Education,"7,791",,,
,,,,9,"Home Repair, Improvement and Products","5,816",,,
,,,,10,Funeral Services,"1,109",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,,,,,,,
