Reports by Military Consumers,,,,,,,,,,,
,,,,,,,,,,,
Report Type,# of Reports,,Rank,Fraud Category,# of Reports,Percentage Reporting $ Loss,Total Amount Lost,Median $ Loss,,Reports by Military Consumers,
Fraud,"50,411",,1,Imposter Scams,"29,859",12%," $25,512,484 ", $700 ,,Number of Fraud Reports,"50,411"
Identity Theft,"30,184",,2,Telephone and Mobile Services,"3,564",9%," $2,336,507 ", $299 ,,# of Reports with $ Loss,"7,650 (15%)"
Other,"32,999",,3,Shop-at-Home and Catalog Sales,"2,509",59%," $2,290,986 ", $188 ,,Total $ Loss,$60M
,,,4,"Prizes, Sweepstakes and Lotteries","1,905",23%," $9,519,287 "," $2,550 ",,Median $ Loss,$619 
,,,5,Foreign Money Offers and Counterfeit Check Scams,"1,480",20%," $1,963,827 "," $2,200 ",,,
,,,6,Internet Services,936,28%," $512,481 ", $155 ,,,
,,,7,Business and Job Opportunities,601,36%," $4,055,715 "," $7,475 ",,,
,,,8,"Travel, Vacations, and Timeshare Plans",476,59%," $3,535,585 "," $3,330 ",,,
,,,9,Grants,428,14%," $365,092 "," $1,075 ",,,
,,,10,Mortgage Foreclosure Relief and Debt Management,376,38%," $581,228 "," $1,200 ",,,
,,,,,,,,,,,
,,,Rank,Identity Theft Type,# of Reports,,,,,,
,,,1,Credit Card Fraud,"11,315",,,,,,
,,,2,Bank Fraud,"5,983",,,,,,
,,,3,Other Identity Theft,"4,936",,,,,,
,,,4,Employment or Tax-Related Fraud,"4,878",,,,,,
,,,5,Phone or Utilities Fraud,"4,543",,,,,,
,,,6,Government Documents or Benefits Fraud,"2,335",,,,,,
,,,7,Loan or Lease Fraud,"2,187",,,,,,
,,,,,,,,,,,
,,,Rank,Other Report Category,# of Reports,,,,,,
,,,1,"Credit Bureaus, Information Furnishers, and Report Users","7,710",,,,,,
,,,2,Banks and Lenders,"7,464",,,,,,
,,,3,Debt Collection,"6,903",,,,,,
,,,4,Credit Cards,"2,279",,,,,,
,,,5,Auto Related,"1,804",,,,,,
,,,6,Education,970,,,,,,
,,,7,"Home Repair, Improvement and Products",516,,,,,,
,,,8,Television and Electronic Media,433,,,,,,
,,,9,Miscellaneous Reports,356,,,,,,
,,,10,Computer Equipment and Software,61,,,,,,
,,,11,Funeral Services,14,,,,,,
,,,,,,,,,,,
"Certain Fraud categories are comprised of subcategories that fall in both Fraud and Other report types. See Appendix B3.The Fraud rankings exclude subcategories
thatarenotfraud",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,,,,,,,,,
