State: Identity Theft Reports,,,
,,,
State,Identity Theft Type,# of Reports,Percentage
Alaska,Bank Fraud,98,20%
Alaska,Credit Card Fraud,184,37%
Alaska,Employment or Tax-Related Fraud,118,24%
Alaska,Government Documents or Benefits Fraud,20,4%
Alaska,Loan or Lease Fraud,37,7%
Alaska,Phone or Utilities Fraud,49,10%
Alabama,Bank Fraud,498,14%
Alabama,Credit Card Fraud,1119,31%
Alabama,Employment or Tax-Related Fraud,798,22%
Alabama,Government Documents or Benefits Fraud,201,6%
Alabama,Loan or Lease Fraud,451,12%
Alabama,Phone or Utilities Fraud,521,14%
Arkansas,Bank Fraud,282,14%
Arkansas,Credit Card Fraud,599,29%
Arkansas,Employment or Tax-Related Fraud,563,27%
Arkansas,Government Documents or Benefits Fraud,110,5%
Arkansas,Loan or Lease Fraud,145,7%
Arkansas,Phone or Utilities Fraud,356,17%
Arizona,Bank Fraud,1114,13%
Arizona,Credit Card Fraud,2577,31%
Arizona,Employment or Tax-Related Fraud,2653,32%
Arizona,Government Documents or Benefits Fraud,479,6%
Arizona,Loan or Lease Fraud,600,7%
Arizona,Phone or Utilities Fraud,956,11%
California,Bank Fraud,7357,13%
California,Credit Card Fraud,23714,43%
California,Employment or Tax-Related Fraud,10961,20%
California,Government Documents or Benefits Fraud,2966,5%
California,Loan or Lease Fraud,4624,8%
California,Phone or Utilities Fraud,7220,13%
Colorado,Bank Fraud,946,16%
Colorado,Credit Card Fraud,2105,35%
Colorado,Employment or Tax-Related Fraud,1647,27%
Colorado,Government Documents or Benefits Fraud,290,5%
Colorado,Loan or Lease Fraud,365,6%
Colorado,Phone or Utilities Fraud,746,12%
Connecticut,Bank Fraud,525,13%
Connecticut,Credit Card Fraud,1761,43%
Connecticut,Employment or Tax-Related Fraud,800,20%
Connecticut,Government Documents or Benefits Fraud,195,5%
Connecticut,Loan or Lease Fraud,177,4%
Connecticut,Phone or Utilities Fraud,732,18%
District of Columbia,Bank Fraud,168,13%
District of Columbia,Credit Card Fraud,566,42%
District of Columbia,Employment or Tax-Related Fraud,282,21%
District of Columbia,Government Documents or Benefits Fraud,74,6%
District of Columbia,Loan or Lease Fraud,96,7%
District of Columbia,Phone or Utilities Fraud,195,15%
Delaware,Bank Fraud,123,10%
Delaware,Credit Card Fraud,365,30%
Delaware,Employment or Tax-Related Fraud,285,24%
Delaware,Government Documents or Benefits Fraud,63,5%
Delaware,Loan or Lease Fraud,164,14%
Delaware,Phone or Utilities Fraud,237,20%
Florida,Bank Fraud,5615,18%
Florida,Credit Card Fraud,12504,40%
Florida,Employment or Tax-Related Fraud,5167,17%
Florida,Government Documents or Benefits Fraud,2772,9%
Florida,Loan or Lease Fraud,2407,8%
Florida,Phone or Utilities Fraud,4268,14%
Georgia,Bank Fraud,1790,14%
Georgia,Credit Card Fraud,4508,36%
Georgia,Employment or Tax-Related Fraud,2346,19%
Georgia,Government Documents or Benefits Fraud,509,4%
Georgia,Loan or Lease Fraud,1674,13%
Georgia,Phone or Utilities Fraud,2331,19%
Hawaii,Bank Fraud,155,17%
Hawaii,Credit Card Fraud,405,46%
Hawaii,Employment or Tax-Related Fraud,115,13%
Hawaii,Government Documents or Benefits Fraud,36,4%
Hawaii,Loan or Lease Fraud,72,8%
Hawaii,Phone or Utilities Fraud,107,12%
Iowa,Bank Fraud,218,12%
Iowa,Credit Card Fraud,690,37%
Iowa,Employment or Tax-Related Fraud,484,26%
Iowa,Government Documents or Benefits Fraud,92,5%
Iowa,Loan or Lease Fraud,99,5%
Iowa,Phone or Utilities Fraud,236,13%
Idaho,Bank Fraud,188,14%
Idaho,Credit Card Fraud,480,35%
Idaho,Employment or Tax-Related Fraud,312,23%
Idaho,Government Documents or Benefits Fraud,50,4%
Idaho,Loan or Lease Fraud,168,12%
Idaho,Phone or Utilities Fraud,165,12%
Illinois,Bank Fraud,2166,14%
Illinois,Credit Card Fraud,6129,39%
Illinois,Employment or Tax-Related Fraud,3003,19%
Illinois,Government Documents or Benefits Fraud,899,6%
Illinois,Loan or Lease Fraud,1330,8%
Illinois,Phone or Utilities Fraud,3059,19%
Indiana,Bank Fraud,624,12%
Indiana,Credit Card Fraud,1414,28%
Indiana,Employment or Tax-Related Fraud,1383,28%
Indiana,Government Documents or Benefits Fraud,266,5%
Indiana,Loan or Lease Fraud,379,8%
Indiana,Phone or Utilities Fraud,955,19%
Kansas,Bank Fraud,369,18%
Kansas,Credit Card Fraud,774,37%
Kansas,Employment or Tax-Related Fraud,404,19%
Kansas,Government Documents or Benefits Fraud,130,6%
Kansas,Loan or Lease Fraud,181,9%
Kansas,Phone or Utilities Fraud,257,12%
Kentucky,Bank Fraud,355,12%
Kentucky,Credit Card Fraud,829,27%
Kentucky,Employment or Tax-Related Fraud,1054,34%
Kentucky,Government Documents or Benefits Fraud,191,6%
Kentucky,Loan or Lease Fraud,164,5%
Kentucky,Phone or Utilities Fraud,433,14%
Louisiana,Bank Fraud,488,15%
Louisiana,Credit Card Fraud,984,29%
Louisiana,Employment or Tax-Related Fraud,773,23%
Louisiana,Government Documents or Benefits Fraud,253,8%
Louisiana,Loan or Lease Fraud,344,10%
Louisiana,Phone or Utilities Fraud,527,16%
Massachusetts,Bank Fraud,860,14%
Massachusetts,Credit Card Fraud,2450,41%
Massachusetts,Employment or Tax-Related Fraud,1278,21%
Massachusetts,Government Documents or Benefits Fraud,378,6%
Massachusetts,Loan or Lease Fraud,335,6%
Massachusetts,Phone or Utilities Fraud,841,14%
