State Rankings: Fraud Reports,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rank,StateName,Reports per 100K Population,# of Reports,Percentage Reporting $ Loss,Total $ Loss,Median $ Loss,,,,,,,,,,
1,West Virginia,363,6586,15%," $5,785,258 ", $500 ,,,,,,,,,,
2,Nevada,357,10707,19%," $7,653,255 ", $500 ,,,,,,,,,,
3,Montana,351,3687,14%," $1,301,517 ", $481 ,,,,,,,,,,
4,Arizona,346,24287,15%," $19,284,844 ", $500 ,,,,,,,,,,
5,Delaware,341,3283,19%," $1,757,570 ", $350 ,,,,,,,,,,
6,Oregon,322,13351,16%," $9,970,135 ", $499 ,,,,,,,,,,
7,Florida,315,66175,20%," $54,695,859 ", $428 ,,,,,,,,,,
8,Colorado,313,17551,18%," $10,320,817 ", $484 ,,,,,,,,,,
9,New Mexico,310,6479,18%," $3,183,059 ", $500 ,,,,,,,,,,
10,Missouri,310,18947,16%," $10,444,147 ", $426 ,,,,,,,,,,
11,Washington,310,22939,17%," $17,883,315 ", $460 ,,,,,,,,,,
12,Virginia,308,26052,18%," $14,115,290 ", $438 ,,,,,,,,,,
13,Idaho,306,5251,14%," $2,150,981 ", $500 ,,,,,,,,,,
14,Maryland,303,18347,21%," $12,370,283 ", $458 ,,,,,,,,,,
15,Alabama,303,14756,19%," $7,005,503 ", $400 ,,,,,,,,,,
16,Kansas,298,8687,17%," $6,231,928 ", $499 ,,,,,,,,,,
17,Tennessee,298,19996,18%," $13,715,621 ", $444 ,,,,,,,,,,
18,South Carolina,298,14959,20%," $8,895,987 ", $380 ,,,,,,,,,,
19,North Carolina,297,30481,19%," $18,356,048 ", $400 ,,,,,,,,,,
20,Alaska,296,2187,18%," $1,123,694 ", $454 ,,,,,,,,,,
21,Wyoming,296,1712,20%," $803,853 ", $565 ,,,,,,,,,,
22,New Hampshire,294,3953,18%," $1,258,043 ", $410 ,,,,,,,,,,
23,Hawaii,287,4098,18%," $2,932,199 ", $458 ,,,,,,,,,,
24,Arkansas,283,8515,18%," $5,319,578 ", $405 ,,,,,,,,,,
25,Georgia,281,29352,21%," $18,585,493 ", $350 ,,,,,,,,,,
26,Ohio,275,32050,17%," $14,698,221 ", $400 ,,,,,,,,,,
27,Pennsylvania,273,34984,19%," $20,708,109 ", $408 ,,,,,,,,,,
28,Indiana,272,18156,18%," $9,319,096 ", $495 ,,,,,,,,,,
29,Connecticut,267,9577,19%," $6,672,807 ", $488 ,,,,,,,,,,
30,Nebraska,266,5103,16%," $1,477,280 ", $443 ,,,,,,,,,,
31,Kentucky,266,11827,16%," $5,959,371 ", $450 ,,,,,,,,,,
32,Wisconsin,265,15382,17%," $7,634,601 ", $440 ,,,,,,,,,,
33,Massachusetts,263,18033,21%," $10,961,979 ", $450 ,,,,,,,,,,
34,Minnesota,263,14657,17%," $10,119,466 ", $495 ,,,,,,,,,,
35,Vermont,262,1637,19%," $461,302 ", $494 ,,,,,,,,,,
36,Michigan,262,26094,18%," $15,322,302 ", $400 ,,,,,,,,,,
37,Maine,260,3475,17%," $1,178,173 ", $441 ,,,,,,,,,,
38,Rhode Island,258,2731,20%," $1,276,753 ", $312 ,,,,,,,,,,
39,New York,255,50602,21%," $40,166,605 ", $425 ,,,,,,,,,,
40,Mississippi,255,7601,22%," $4,696,572 ", $367 ,,,,,,,,,,
41,New Jersey,251,22603,22%," $16,787,764 ", $480 ,,,,,,,,,,
42,Utah,248,7681,17%," $6,068,447 ", $500 ,,,,,,,,,,
43,Illinois,247,31685,19%," $21,933,752 ", $460 ,,,,,,,,,,
44,Oklahoma,246,9687,17%," $4,972,544 ", $400 ,,,,,,,,,,
45,California,246,97228,21%," $89,928,878 ", $500 ,,,,,,,,,,
46,Louisiana,244,11443,23%," $8,442,584 ", $411 ,,,,,,,,,,
47,Texas,243,68641,21%," $57,626,803 ", $446 ,,,,,,,,,,
48,Iowa,222,6984,19%," $4,169,575 ", $495 ,,,,,,,,,,
49,South Dakota,202,1754,17%," $1,913,100 ", $388 ,,,,,,,,,,
50,North Dakota,184,1390,21%," $967,570 ", $500 ,,,,,,,,,,
,Puerto Rico,39,1304,44%," $972,505 ", $400 ,,,,,,,,,,
,District of Columbia,418,2902,22%," $2,472,017 ", $309 ,,,,,,,,,,
,,,,,,,,,,,,,,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2017 U.S. Census population estimates. Ranking excludes state-specific data contributor reports.  ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,,,,,,,,,,,,,,
