State Rankings: Fraud and Other Reports,,,
,,,
Rank,State,# of Reports per 100K Population,# of Reports
1,Florida,993,"208,443"
2,Georgia,924,"96,316"
3,Nevada,770,"23,071"
4,Delaware,758,"7,290"
5,Michigan,750,"74,689"
6,Texas,729,"206,305"
7,Maryland,694,"42,032"
8,Alabama,687,"33,467"
9,South Carolina,660,"33,137"
10,Tennessee,649,"43,579"
11,Arizona,644,"45,158"
12,Missouri,640,"39,148"
13,Virginia,613,"51,932"
14,Ohio,598,"69,764"
15,New Mexico,590,"12,326"
16,North Carolina,587,"60,261"
17,Louisiana,582,"27,266"
18,California,570,"225,296"
19,Colorado,568,"31,833"
20,Rhode Island,561,"5,947"
21,Pennsylvania,560,"71,771"
22,New Jersey,556,"50,085"
23,Connecticut,541,"19,402"
24,Indiana,521,"34,765"
25,Washington,521,"38,549"
26,Illinois,518,"66,353"
27,Mississippi,514,"15,339"
28,Oregon,512,"21,225"
29,New York,510,"101,265"
30,New Hampshire,509,"6,832"
31,Kentucky,502,"22,371"
32,Kansas,501,"14,586"
33,West Virginia,493,"8,953"
34,Massachusetts,481,"33,006"
35,Arkansas,481,"14,438"
36,Oklahoma,478,"18,770"
37,Idaho,477,"8,187"
38,Montana,473,"4,968"
39,Wisconsin,452,"26,196"
40,Minnesota,434,"24,200"
41,Hawaii,428,"6,116"
42,Maine,423,"5,647"
43,Wyoming,414,"2,396"
44,Utah,413,"12,817"
45,Alaska,406,"3,005"
46,Nebraska,395,"7,590"
47,Vermont,388,"2,417"
48,Iowa,330,"10,370"
49,South Dakota,309,"2,689"
50,North Dakota,277,"2,090"
,District of Columbia,1141,"7,916"
,Puerto Rico,70,"2,335"
,,,
"The District of Columbia and Puerto Rico are included in the table but are not ranked.  States are ranked based on the number of reports per 100,000 populations. Population estimates are based on 2017 U.S. Census population estimates. Ranking excludes state-specific data contributor reports.  ",,,
,,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,,
