State: Top Ten Report Categories,,,
,,,
State,Category,# of Reports,Percentage
Alaska,Imposter Scams,614,18%
Alaska,"Prizes, Sweepstakes and Lotteries",595,17%
Alaska,Identity Theft,494,14%
Alaska,Shop-at-Home and Catalog Sales,244,7%
Alaska,Telephone and Mobile Services,222,6%
Alaska,Banks and Lenders,187,5%
Alaska,Debt Collection,164,5%
Alaska,Auto Related,150,4%
Alaska,Internet Services,88,3%
Alaska,Credit Cards,81,2%
Alabama,Debt Collection,11647,31%
Alabama,Imposter Scams,4679,13%
Alabama,Identity Theft,3609,10%
Alabama,"Prizes, Sweepstakes and Lotteries",3008,8%
Alabama,Banks and Lenders,1794,5%
Alabama,Telephone and Mobile Services,1780,5%
Alabama,"Credit Bureaus, Information Furnishers and Report Users",1633,4%
Alabama,Shop-at-Home and Catalog Sales,1315,4%
Alabama,Auto Related,1131,3%
Alabama,Television and Electronic Media,702,2%
Arkansas,Debt Collection,2829,17%
Arkansas,Imposter Scams,2618,16%
Arkansas,Identity Theft,2084,13%
Arkansas,"Prizes, Sweepstakes and Lotteries",1922,12%
Arkansas,Telephone and Mobile Services,929,6%
Arkansas,Shop-at-Home and Catalog Sales,738,4%
Arkansas,Banks and Lenders,708,4%
Arkansas,"Credit Bureaus, Information Furnishers and Report Users",654,4%
Arkansas,Auto Related,482,3%
Arkansas,Television and Electronic Media,321,2%
Arizona,Debt Collection,9170,17%
Arizona,Identity Theft,8330,16%
Arizona,Imposter Scams,8319,16%
Arizona,Telephone and Mobile Services,3819,7%
Arizona,Banks and Lenders,3240,6%
Arizona,"Prizes, Sweepstakes and Lotteries",2558,5%
Arizona,Auto Related,1887,4%
Arizona,Shop-at-Home and Catalog Sales,1866,3%
Arizona,"Credit Bureaus, Information Furnishers and Report Users",1817,3%
Arizona,Television and Electronic Media,1263,2%
California,Debt Collection,67974,24%
California,Identity Theft,55418,20%
California,Imposter Scams,29871,11%
California,Banks and Lenders,17366,6%
California,Telephone and Mobile Services,14360,5%
California,"Credit Bureaus, Information Furnishers and Report Users",12851,5%
California,Shop-at-Home and Catalog Sales,11098,4%
California,"Prizes, Sweepstakes and Lotteries",9186,3%
California,Auto Related,7779,3%
California,Credit Cards,5861,2%
Colorado,Identity Theft,6051,16%
Colorado,Imposter Scams,5985,16%
Colorado,Debt Collection,5518,15%
Colorado,Telephone and Mobile Services,2474,7%
Colorado,Banks and Lenders,2439,6%
Colorado,Shop-at-Home and Catalog Sales,1911,5%
Colorado,"Prizes, Sweepstakes and Lotteries",1790,5%
Colorado,Auto Related,1516,4%
Colorado,"Credit Bureaus, Information Furnishers and Report Users",1495,4%
Colorado,Internet Services,841,2%
Connecticut,Identity Theft,4078,17%
Connecticut,Debt Collection,4006,17%
Connecticut,Imposter Scams,3389,14%
Connecticut,Banks and Lenders,1789,8%
Connecticut,Telephone and Mobile Services,1207,5%
Connecticut,Shop-at-Home and Catalog Sales,1107,5%
Connecticut,"Credit Bureaus, Information Furnishers and Report Users",1039,4%
Connecticut,Auto Related,990,4%
Connecticut,"Prizes, Sweepstakes and Lotteries",876,4%
Connecticut,Credit Cards,580,2%
District of Columbia,Debt Collection,2778,30%
District of Columbia,Identity Theft,1333,14%
District of Columbia,Imposter Scams,908,10%
District of Columbia,Banks and Lenders,773,8%
District of Columbia,"Credit Bureaus, Information Furnishers and Report Users",430,5%
District of Columbia,Shop-at-Home and Catalog Sales,376,4%
District of Columbia,Telephone and Mobile Services,367,4%
District of Columbia,Auto Related,262,3%
District of Columbia,Credit Cards,243,3%
District of Columbia,"Prizes, Sweepstakes and Lotteries",199,2%
Delaware,Debt Collection,1878,22%
Delaware,Identity Theft,1211,14%
Delaware,Imposter Scams,1035,12%
Delaware,Banks and Lenders,575,7%
Delaware,"Credit Bureaus, Information Furnishers and Report Users",493,6%
Delaware,Telephone and Mobile Services,450,5%
Delaware,"Prizes, Sweepstakes and Lotteries",389,5%
Delaware,Shop-at-Home and Catalog Sales,367,4%
Delaware,Auto Related,302,4%
Delaware,Credit Cards,253,3%
Florida,Debt Collection,97059,41%
Florida,Identity Theft,31167,13%
Florida,Imposter Scams,21548,9%
Florida,Banks and Lenders,11450,5%
Florida,"Credit Bureaus, Information Furnishers and Report Users",10228,4%
Florida,Telephone and Mobile Services,9000,4%
Florida,"Prizes, Sweepstakes and Lotteries",7904,3%
Florida,Auto Related,7161,3%
Florida,Shop-at-Home and Catalog Sales,6830,3%
Florida,Television and Electronic Media,4574,2%
Georgia,Debt Collection,41380,38%
Georgia,Identity Theft,12548,12%
Georgia,"Credit Bureaus, Information Furnishers and Report Users",8359,8%
Georgia,Imposter Scams,8294,8%
Georgia,Banks and Lenders,6340,6%
Georgia,Telephone and Mobile Services,4305,4%
Georgia,Auto Related,3852,4%
Georgia,"Prizes, Sweepstakes and Lotteries",3698,3%
Georgia,Shop-at-Home and Catalog Sales,3273,3%
Georgia,Television and Electronic Media,1860,2%
Hawaii,Imposter Scams,1105,16%
Hawaii,Identity Theft,890,13%
Hawaii,"Prizes, Sweepstakes and Lotteries",704,10%
Hawaii,Telephone and Mobile Services,675,10%
Hawaii,Shop-at-Home and Catalog Sales,422,6%
Hawaii,Debt Collection,413,6%
Hawaii,Banks and Lenders,412,6%
Hawaii,Auto Related,254,4%
Hawaii,"Credit Bureaus, Information Furnishers and Report Users",254,4%
Hawaii,Credit Cards,176,3%
Iowa,Imposter Scams,2360,19%
Iowa,Identity Theft,1870,15%
Iowa,Telephone and Mobile Services,1017,8%
Iowa,"Prizes, Sweepstakes and Lotteries",900,7%
Iowa,Debt Collection,811,7%
Iowa,Banks and Lenders,765,6%
Iowa,Shop-at-Home and Catalog Sales,732,6%
Iowa,Auto Related,609,5%
Iowa,"Credit Bureaus, Information Furnishers and Report Users",411,3%
Iowa,Television and Electronic Media,366,3%
Idaho,Imposter Scams,1774,19%
Idaho,Identity Theft,1356,14%
Idaho,Debt Collection,1192,12%
Idaho,"Prizes, Sweepstakes and Lotteries",904,9%
Idaho,Telephone and Mobile Services,699,7%
Idaho,Banks and Lenders,494,5%
Idaho,Shop-at-Home and Catalog Sales,471,5%
Idaho,Auto Related,405,4%
Idaho,Internet Services,256,3%
Idaho,Television and Electronic Media,238,2%
Illinois,Identity Theft,15841,19%
Illinois,Debt Collection,13666,17%
Illinois,Imposter Scams,9465,12%
Illinois,Banks and Lenders,5601,7%
Illinois,Telephone and Mobile Services,4930,6%
Illinois,"Credit Bureaus, Information Furnishers and Report Users",4831,6%
Illinois,Shop-at-Home and Catalog Sales,3669,4%
Illinois,"Prizes, Sweepstakes and Lotteries",3514,4%
Illinois,Auto Related,3025,4%
Illinois,Television and Electronic Media,2250,3%
Indiana,Debt Collection,8166,21%
Indiana,Imposter Scams,5773,15%
Indiana,Identity Theft,5027,13%
Indiana,"Prizes, Sweepstakes and Lotteries",2814,7%
Indiana,Auto Related,2569,6%
Indiana,Banks and Lenders,2447,6%
Indiana,Telephone and Mobile Services,2315,6%
Indiana,Shop-at-Home and Catalog Sales,2104,5%
Indiana,"Credit Bureaus, Information Furnishers and Report Users",1483,4%
Indiana,Television and Electronic Media,1268,3%
Kansas,Imposter Scams,2992,18%
Kansas,Debt Collection,2587,16%
Kansas,Identity Theft,2100,13%
Kansas,"Prizes, Sweepstakes and Lotteries",1648,10%
Kansas,Telephone and Mobile Services,907,5%
Kansas,Banks and Lenders,822,5%
Kansas,Shop-at-Home and Catalog Sales,744,4%
Kansas,"Credit Bureaus, Information Furnishers and Report Users",643,4%
Kansas,Auto Related,531,3%
Kansas,Television and Electronic Media,319,2%
Kentucky,Debt Collection,5031,20%
Kentucky,Imposter Scams,3777,15%
Kentucky,Identity Theft,3060,12%
Kentucky,"Prizes, Sweepstakes and Lotteries",1771,7%
Kentucky,Telephone and Mobile Services,1585,6%
Kentucky,Banks and Lenders,1259,5%
