Top Three Identity Theft Reports by Year,,
,,
Theft Type,Year,Complaint Count
Credit Card Fraud,2013,"46,920"
Credit Card Fraud,2014,"55,558"
Credit Card Fraud,2015,"74,915"
Credit Card Fraud,2016,"124,784"
Credit Card Fraud,2017,"133,015"
Employment or Tax-Related Fraud,2017,"82,051"
Employment or Tax-Related Fraud,2013,"101,174"
Employment or Tax-Related Fraud,2014,"123,215"
Employment or Tax-Related Fraud,2016,"133,944"
Employment or Tax-Related Fraud,2015,"235,670"
Phone or Utilities Fraud,2013,"37,443"
Phone or Utilities Fraud,2014,"40,062"
Phone or Utilities Fraud,2015,"46,810"
Phone or Utilities Fraud,2016,"49,379"
Phone or Utilities Fraud,2017,"55,045"
,,
,,
The top identity theft types can vary by year. This table shows the top three types of identity theft reported in 2017 and how those types changed over five years.,,
,,
"Source: Consumer Sentinel Network Data Book 2017, Federal Trade Commission",,
