Metropolitan Area,Reports per 100K Population
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",603
"Auburn-Opelika, AL Metropolitan Statistical Area",413
"Birmingham-Hoover, AL Metropolitan Statistical Area",592
"Columbus, GA-AL Metropolitan Statistical Area",631
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",447
"Decatur, AL Metropolitan Statistical Area",359
"Dothan, AL Metropolitan Statistical Area",545
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",368
"Gadsden, AL Metropolitan Statistical Area",475
"Huntsville, AL Metropolitan Statistical Area",616
"Mobile, AL Metropolitan Statistical Area",656
"Montgomery, AL Metropolitan Statistical Area",785
"Tuscaloosa, AL Metropolitan Statistical Area",413
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
