Metropolitan Area,Reports per 100K Population
"Flagstaff, AZ Metropolitan Statistical Area",322
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",569
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",589
"Prescott, AZ Metropolitan Statistical Area",770
"Show Low, AZ Micropolitan Statistical Area",373
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",564
"Tucson, AZ Metropolitan Statistical Area",544
"Yuma, AZ Metropolitan Statistical Area",269
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
