Metropolitan Area,Reports per 100K Population
"Bakersfield, CA Metropolitan Statistical Area",390
"Chico, CA Metropolitan Statistical Area",531
"El Centro, CA Metropolitan Statistical Area",192
"Eureka-Arcata-Fortuna, CA Micropolitan Statistical Area",428
"Fresno, CA Metropolitan Statistical Area",368
"Hanford-Corcoran, CA Metropolitan Statistical Area",296
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",476
"Madera, CA Metropolitan Statistical Area",255
"Merced, CA Metropolitan Statistical Area",248
"Modesto, CA Metropolitan Statistical Area",355
"Napa, CA Metropolitan Statistical Area",423
"Oxnard-Thousand Oaks-Ventura, CA Metropolitan Statistical Area",467
"Redding, CA Metropolitan Statistical Area",564
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",433
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",623
"Salinas, CA Metropolitan Statistical Area",379
"San Diego-Carlsbad, CA Metropolitan Statistical Area",474
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",545
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",454
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",416
"Santa Cruz-Watsonville, CA Metropolitan Statistical Area",341
"Santa Maria-Santa Barbara, CA Metropolitan Statistical Area",346
"Santa Rosa, CA Metropolitan Statistical Area",416
"Stockton-Lodi, CA Metropolitan Statistical Area",526
"Vallejo-Fairfield, CA Metropolitan Statistical Area",500
"Visalia-Porterville, CA Metropolitan Statistical Area",240
"Yuba City, CA Metropolitan Statistical Area",391
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
