Metropolitan Area,Reports per 100K Population
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",781
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",534
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",696
"Gainesville, FL Metropolitan Statistical Area",807
"Homosassa Springs, FL Metropolitan Statistical Area",1156
"Jacksonville, FL Metropolitan Statistical Area",737
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",637
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",743
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",447
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",568
"Ocala, FL Metropolitan Statistical Area",827
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",641
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",623
"Panama City, FL Metropolitan Statistical Area",513
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",568
"Port St. Lucie, FL Metropolitan Statistical Area",600
"Punta Gorda, FL Metropolitan Statistical Area",666
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",583
"Sebring, FL Metropolitan Statistical Area",546
"Tallahassee, FL Metropolitan Statistical Area",568
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",824
"The Villages, FL Metropolitan Statistical Area",496
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
