Metropolitan Area,Reports per 100K Population
"Albany, GA Metropolitan Statistical Area",484
"Athens-Clarke County, GA Metropolitan Statistical Area",430
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",927
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",597
"Brunswick, GA Metropolitan Statistical Area",616
"Chattanooga, TN-GA Metropolitan Statistical Area",603
"Columbus, GA-AL Metropolitan Statistical Area",631
"Dalton, GA Metropolitan Statistical Area",457
"Gainesville, GA Metropolitan Statistical Area",384
"Macon-Bibb County, GA Metropolitan Statistical Area",702
"Savannah, GA Metropolitan Statistical Area",606
"Valdosta, GA Metropolitan Statistical Area",415
"Warner Robins, GA Metropolitan Statistical Area",560
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
