Metropolitan Area,Reports per 100K Population
"Bloomington, IL Metropolitan Statistical Area",331
"Carbondale-Marion, IL Metropolitan Statistical Area",395
"Champaign-Urbana, IL Metropolitan Statistical Area",356
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",490
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",329
"Decatur, IL Metropolitan Statistical Area",420
"Kankakee, IL Metropolitan Statistical Area",326
"Ottawa-Peru, IL Micropolitan Statistical Area",308
"Peoria, IL Metropolitan Statistical Area",380
"Rockford, IL Metropolitan Statistical Area",443
"Springfield, IL Metropolitan Statistical Area",466
"St. Louis, MO-IL Metropolitan Statistical Area",497
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
