Metropolitan Area,Reports per 100K Population
"Bloomington, IN Metropolitan Statistical Area",381
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",490
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",499
"Elkhart-Goshen, IN Metropolitan Statistical Area",328
"Evansville, IN-KY Metropolitan Statistical Area",444
"Fort Wayne, IN Metropolitan Statistical Area",518
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",547
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",336
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",560
"Michigan City-La Porte, IN Metropolitan Statistical Area",415
"Muncie, IN Metropolitan Statistical Area",379
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",479
"Terre Haute, IN Metropolitan Statistical Area",383
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Indiana Attorney General.",
