Metropolitan Area,Reports per 100K Population
"Bowling Green, KY Metropolitan Statistical Area",482
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",499
"Clarksville, TN-KY Metropolitan Statistical Area",486
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",493
"Evansville, IN-KY Metropolitan Statistical Area",444
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",411
"Lexington-Fayette, KY Metropolitan Statistical Area",491
"London, KY Micropolitan Statistical Area",325
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",560
"Owensboro, KY Metropolitan Statistical Area",440
"Richmond-Berea, KY Micropolitan Statistical Area",343
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
