Metropolitan Area,Reports per 100K Population
"Alexandria, LA Metropolitan Statistical Area",399
"Baton Rouge, LA Metropolitan Statistical Area",445
"Hammond, LA Metropolitan Statistical Area",382
"Houma-Thibodaux, LA Metropolitan Statistical Area",367
"Lafayette, LA Metropolitan Statistical Area",396
"Lake Charles, LA Metropolitan Statistical Area",393
"Monroe, LA Metropolitan Statistical Area",425
"New Orleans-Metairie, LA Metropolitan Statistical Area",538
"Shreveport-Bossier City, LA Metropolitan Statistical Area",551
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
