Metropolitan Area,Reports per 100K Population
"Ann Arbor, MI Metropolitan Statistical Area",512
"Battle Creek, MI Metropolitan Statistical Area",447
"Bay City, MI Metropolitan Statistical Area",405
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",746
"Flint, MI Metropolitan Statistical Area",556
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",446
"Holland, MI Micropolitan Statistical Area",246
"Jackson, MI Metropolitan Statistical Area",344
"Kalamazoo-Portage, MI Metropolitan Statistical Area",427
"Lansing-East Lansing, MI Metropolitan Statistical Area",458
"Monroe, MI Metropolitan Statistical Area",405
"Muskegon, MI Metropolitan Statistical Area",405
"Niles-Benton Harbor, MI Metropolitan Statistical Area",402
"Saginaw, MI Metropolitan Statistical Area",507
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",479
"Traverse City, MI Micropolitan Statistical Area",375
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Michigan Attorney General.",
