Metropolitan Area,Reports per 100K Population
"Duluth, MN-WI Metropolitan Statistical Area",419
"Fargo, ND-MN Metropolitan Statistical Area",285
"Grand Forks, ND-MN Metropolitan Statistical Area",277
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",355
"Mankato-North Mankato, MN Metropolitan Statistical Area",372
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",419
"Rochester, MN Metropolitan Statistical Area",325
"St. Cloud, MN Metropolitan Statistical Area",304
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
