Metropolitan Area,Reports per 100K Population
"Columbia, MO Metropolitan Statistical Area",439
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",382
"Jefferson City, MO Metropolitan Statistical Area",386
"Joplin, MO Metropolitan Statistical Area",430
"Kansas City, MO-KS Metropolitan Statistical Area",539
"Springfield, MO Metropolitan Statistical Area",482
"St. Joseph, MO-KS Metropolitan Statistical Area",358
"St. Louis, MO-IL Metropolitan Statistical Area",497
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
