Metropolitan Area,Reports per 100K Population
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area",443
"Binghamton, NY Metropolitan Statistical Area",438
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",509
"Glens Falls, NY Metropolitan Statistical Area",403
"Ithaca, NY Metropolitan Statistical Area",383
"Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",341
"Kingston, NY Metropolitan Statistical Area",471
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",449
"Ogdensburg-Massena, NY Micropolitan Statistical Area",303
"Rochester, NY Metropolitan Statistical Area",488
"Syracuse, NY Metropolitan Statistical Area",480
"Utica-Rome, NY Metropolitan Statistical Area",372
"Watertown-Fort Drum, NY Metropolitan Statistical Area",433
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
