Metropolitan Area,Reports per 100K Population
"Akron, OH Metropolitan Statistical Area",563
"Canton-Massillon, OH Metropolitan Statistical Area",482
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",499
"Cleveland-Elyria, OH Metropolitan Statistical Area",581
"Columbus, OH Metropolitan Statistical Area",512
"Dayton, OH Metropolitan Statistical Area",519
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",411
"Lima, OH Metropolitan Statistical Area",363
"Mansfield, OH Metropolitan Statistical Area",441
"Salem, OH Micropolitan Statistical Area",380
"Springfield, OH Metropolitan Statistical Area",404
"Toledo, OH Metropolitan Statistical Area",516
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",479
"Wheeling, WV-OH Metropolitan Statistical Area",416
"Wooster, OH Micropolitan Statistical Area",355
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",537
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Ohio Attorney General.",
