Metropolitan Area,Reports per 100K Population
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",485
"Altoona, PA Metropolitan Statistical Area",477
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",357
"East Stroudsburg, PA Metropolitan Statistical Area",524
"Erie, PA Metropolitan Statistical Area",428
"Gettysburg, PA Metropolitan Statistical Area",316
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",526
"Johnstown, PA Metropolitan Statistical Area",393
"Lancaster, PA Metropolitan Statistical Area",321
"Lebanon, PA Metropolitan Statistical Area",335
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",449
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",561
"Pittsburgh, PA Metropolitan Statistical Area",523
"Pottsville, PA Micropolitan Statistical Area",402
"Reading, PA Metropolitan Statistical Area",398
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",456
"State College, PA Metropolitan Statistical Area",306
"Williamsport, PA Metropolitan Statistical Area",362
"York-Hanover, PA Metropolitan Statistical Area",413
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",537
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Pennsylvania Attorney General.",
