Metropolitan Area,Reports per 100K Population
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",597
"Charleston-North Charleston, SC Metropolitan Statistical Area",596
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",674
"Columbia, SC Metropolitan Statistical Area",657
"Florence, SC Metropolitan Statistical Area",562
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",551
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",483
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",636
"Spartanburg, SC Metropolitan Statistical Area",466
"Sumter, SC Metropolitan Statistical Area",426
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the South Carolina Department of Consumer Affairs.",
