Metropolitan Area,Reports per 100K Population
"Chattanooga, TN-GA Metropolitan Statistical Area",603
"Clarksville, TN-KY Metropolitan Statistical Area",486
"Cleveland, TN Metropolitan Statistical Area",422
"Cookeville, TN Micropolitan Statistical Area",421
"Jackson, TN Metropolitan Statistical Area",397
"Johnson City, TN Metropolitan Statistical Area",466
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",382
"Knoxville, TN Metropolitan Statistical Area",490
"Memphis, TN-MS-AR Metropolitan Statistical Area",660
"Morristown, TN Metropolitan Statistical Area",326
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",568
"Tullahoma-Manchester, TN Micropolitan Statistical Area",382
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Tennessee Department of Commerce and Insurance, Consumer Affairs Division.",
