Metropolitan Area,Reports per 100K Population
"Abilene, TX Metropolitan Statistical Area",420
"Amarillo, TX Metropolitan Statistical Area",439
"Austin-Round Rock, TX Metropolitan Statistical Area",534
"Beaumont-Port Arthur, TX Metropolitan Statistical Area",437
"Brownsville-Harlingen, TX Metropolitan Statistical Area",288
"College Station-Bryan, TX Metropolitan Statistical Area",306
"Corpus Christi, TX Metropolitan Statistical Area",446
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",773
"El Paso, TX Metropolitan Statistical Area",435
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",506
"Killeen-Temple, TX Metropolitan Statistical Area",615
"Laredo, TX Metropolitan Statistical Area",251
"Longview, TX Metropolitan Statistical Area",489
"Lubbock, TX Metropolitan Statistical Area",483
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area",199
"Midland, TX Metropolitan Statistical Area",404
"Odessa, TX Metropolitan Statistical Area",304
"San Angelo, TX Metropolitan Statistical Area",376
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",452
"Sherman-Denison, TX Metropolitan Statistical Area",565
"Texarkana, TX-AR Metropolitan Statistical Area",614
"Tyler, TX Metropolitan Statistical Area",507
"Waco, TX Metropolitan Statistical Area",654
"Wichita Falls, TX Metropolitan Statistical Area",640
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
