Metropolitan Area,Reports per 100K Population
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",319
"Bluefield, WV-VA Micropolitan Statistical Area",435
"Charlottesville, VA Metropolitan Statistical Area",434
"Danville, VA Micropolitan Statistical Area",173
"Harrisonburg, VA Metropolitan Statistical Area",220
"Kingsport-Bristol-Bristol, TN-VA Metropolitan Statistical Area",382
"Lynchburg, VA Metropolitan Statistical Area",278
"Richmond, VA Metropolitan Statistical Area",434
"Roanoke, VA Metropolitan Statistical Area",226
"Staunton-Waynesboro, VA Metropolitan Statistical Area",141
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",61
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",487
"Winchester, VA-WV Metropolitan Statistical Area",353
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
