Metropolitan Area,Reports per 100K Population
"Bellingham, WA Metropolitan Statistical Area",453
"Bremerton-Silverdale, WA Metropolitan Statistical Area",497
"Kennewick-Richland, WA Metropolitan Statistical Area",316
"Longview, WA Metropolitan Statistical Area",341
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",433
"Olympia-Tumwater, WA Metropolitan Statistical Area",539
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",478
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",496
"Spokane-Spokane Valley, WA Metropolitan Statistical Area",646
"Wenatchee, WA Metropolitan Statistical Area",332
"Yakima, WA Metropolitan Statistical Area",282
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Washington Attorney General.",
