Metropolitan Area,Reports per 100K Population
"Beckley, WV Metropolitan Statistical Area",514
"Bluefield, WV-VA Micropolitan Statistical Area",435
"Charleston, WV Metropolitan Statistical Area",576
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",437
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",411
"Morgantown, WV Metropolitan Statistical Area",376
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",487
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",479
"Wheeling, WV-OH Metropolitan Statistical Area",416
"Winchester, VA-WV Metropolitan Statistical Area",353
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).",
