Metropolitan Area,Reports per 100K Population
"Appleton, WI Metropolitan Statistical Area",360
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",490
"Duluth, MN-WI Metropolitan Statistical Area",419
"Eau Claire, WI Metropolitan Statistical Area",384
"Fond du Lac, WI Metropolitan Statistical Area",342
"Green Bay, WI Metropolitan Statistical Area",349
"Janesville-Beloit, WI Metropolitan Statistical Area",404
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",355
"Madison, WI Metropolitan Statistical Area",406
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",514
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",419
"Oshkosh-Neenah, WI Metropolitan Statistical Area",424
"Racine, WI Metropolitan Statistical Area",413
"Sheboygan, WI Metropolitan Statistical Area",289
"Wausau, WI Metropolitan Statistical Area",416
"Whitewater-Elkhorn, WI Micropolitan Statistical Area",355
,
"This chart identifies Metropolitan Areas (Metropolitan and Micropolitan Statistical Areas) with a population of 100,000 or more.  Metropolitan areas are defined by Office of Management and Budget Bulletin No. 15-01, ""Revised Delineations of Metropolitan Statistical Areas, Micropolitan Statistical Areas, and Combined Statistical Areas, and Guidance on Uses of the Delineations of These Areas"" (July 15, 2015).  This chart excludes reports provided by the Wisconsin Department of Agriculture, Trade, and Consumer Protection.",
