"Military Consumer Identity Theft Reports by Type
",,,
,,,
Theft Type,Theft Subtype,# of Reports,% Difference from Previous Year
Credit Card Fraud,New Accounts ,"7,638",-11%
Credit Card Fraud,Existing Accounts ,"2,952",-12%
Bank Fraud,"Debit Cards, Electronic Funds Transfer, or ACH","2,678",-15%
Bank Fraud,New Accounts,"1,679",2%
Bank Fraud,Existing Accounts,"1,366",-6%
Phone or Utilities Fraud,Mobile Telephone – New Accounts,"2,402",17%
Phone or Utilities Fraud,Utilities – New Accounts,"1,454",-16%
Phone or Utilities Fraud,Landline Telephone – New Accounts,488,-1%
Phone or Utilities Fraud,Mobile Telephone – Existing Accounts,475,-3%
Phone or Utilities Fraud,Landline Telephone – Existing Accounts,165,11%
Phone or Utilities Fraud,Utilities – Existing Accounts,95,6%
Employment or Tax-Related Fraud,Tax Fraud,"2,221",-44%
Employment or Tax-Related Fraud,Employment or Wage-Related Fraud,"1,916",85%
Loan or Lease Fraud,Business\Personal Loan,"1,168",19%
Loan or Lease Fraud,Auto Loan\Lease,832,40%
Loan or Lease Fraud,Real Estate Loan,385,36%
Loan or Lease Fraud,Apartment or House Rented,380,79%
Loan or Lease Fraud,Non-Federal Student Loan,257,18%
Loan or Lease Fraud,Federal Student Loan,192,22%
Government Documents or Benefits Fraud,Government Benefits Applied For\Received,"1,650",-1%
Government Documents or Benefits Fraud,Other Government Documents Issued\Forged,579,5%
Government Documents or Benefits Fraud,Driver's License Issued\Forged,366,38%
Government Documents or Benefits Fraud,Passport Issued\Forged,44,29%
Other Identity Theft,Other,"3,519",25%
Other Identity Theft,Online Shopping or Payment Account,870,11%
Other Identity Theft,Email or Social Media,852,21%
Other Identity Theft,Medical Services,544,22%
Other Identity Theft,Evading the Law,377,7%
Other Identity Theft,Insurance,253,10%
Other Identity Theft,Securities Accounts,211,17%
,,,
"Consumers can report multiple types of identity theft. In 2018, 18% of Military identity theft reports included more than one type of identity theft.",,,
,,,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",,,
