State: Identity Theft Reports,,,
,,,
State,Theft Type,# of Reports,Percentage
Alabama,Bank Fraud,579,11%
Alabama,Credit Card Fraud,"1,655",32%
Alabama,Employment or Tax-Related Fraud,824,16%
Alabama,Government Documents or Benefits Fraud,227,4%
Alabama,Loan or Lease Fraud,888,17%
Alabama,Other Identity Theft,"1,532",29%
Alabama,Phone or Utilities Fraud,921,18%
Alaska,Bank Fraud,77,15%
Alaska,Credit Card Fraud,191,38%
Alaska,Employment or Tax-Related Fraud,78,15%
Alaska,Government Documents or Benefits Fraud,45,9%
Alaska,Loan or Lease Fraud,39,8%
Alaska,Other Identity Theft,120,24%
Alaska,Phone or Utilities Fraud,94,19%
Arizona,Bank Fraud,"1,132",13%
Arizona,Credit Card Fraud,"2,639",30%
Arizona,Employment or Tax-Related Fraud,"2,093",24%
Arizona,Government Documents or Benefits Fraud,451,5%
Arizona,Loan or Lease Fraud,813,9%
Arizona,Other Identity Theft,"2,289",26%
Arizona,Phone or Utilities Fraud,"1,220",14%
Arkansas,Bank Fraud,303,14%
Arkansas,Credit Card Fraud,665,30%
Arkansas,Employment or Tax-Related Fraud,424,19%
Arkansas,Government Documents or Benefits Fraud,145,7%
Arkansas,Loan or Lease Fraud,234,11%
Arkansas,Other Identity Theft,522,24%
Arkansas,Phone or Utilities Fraud,369,17%
California,Bank Fraud,"7,599",10%
California,Credit Card Fraud,"30,004",41%
California,Employment or Tax-Related Fraud,"10,808",15%
California,Government Documents or Benefits Fraud,"2,931",4%
California,Loan or Lease Fraud,"7,478",10%
California,Other Identity Theft,"22,075",30%
California,Phone or Utilities Fraud,"7,702",10%
Colorado,Bank Fraud,942,15%
Colorado,Credit Card Fraud,"2,091",34%
Colorado,Employment or Tax-Related Fraud,"1,272",21%
Colorado,Government Documents or Benefits Fraud,289,5%
Colorado,Loan or Lease Fraud,467,8%
Colorado,Other Identity Theft,"1,264",21%
Colorado,Phone or Utilities Fraud,"1,094",18%
Connecticut,Bank Fraud,504,13%
Connecticut,Credit Card Fraud,"1,556",40%
Connecticut,Employment or Tax-Related Fraud,693,18%
Connecticut,Government Documents or Benefits Fraud,159,4%
Connecticut,Loan or Lease Fraud,257,7%
Connecticut,Other Identity Theft,673,17%
Connecticut,Phone or Utilities Fraud,817,21%
Delaware,Bank Fraud,155,10%
Delaware,Credit Card Fraud,528,35%
Delaware,Employment or Tax-Related Fraud,134,9%
Delaware,Government Documents or Benefits Fraud,59,4%
Delaware,Loan or Lease Fraud,213,14%
Delaware,Other Identity Theft,283,19%
Delaware,Phone or Utilities Fraud,459,30%
District of Columbia,Bank Fraud,148,13%
District of Columbia,Credit Card Fraud,388,34%
District of Columbia,Employment or Tax-Related Fraud,177,15%
District of Columbia,Government Documents or Benefits Fraud,91,8%
District of Columbia,Loan or Lease Fraud,152,13%
District of Columbia,Other Identity Theft,274,24%
District of Columbia,Phone or Utilities Fraud,210,18%
Florida,Bank Fraud,"5,480",14%
Florida,Credit Card Fraud,"15,867",42%
Florida,Employment or Tax-Related Fraud,"4,352",12%
Florida,Government Documents or Benefits Fraud,"1,951",5%
Florida,Loan or Lease Fraud,"3,799",10%
Florida,Other Identity Theft,"10,157",27%
Florida,Phone or Utilities Fraud,"4,811",13%
Georgia,Bank Fraud,"2,009",8%
Georgia,Credit Card Fraud,"8,558",36%
Georgia,Employment or Tax-Related Fraud,"1,868",8%
Georgia,Government Documents or Benefits Fraud,712,3%
Georgia,Loan or Lease Fraud,"4,835",20%
Georgia,Other Identity Theft,"9,625",40%
Georgia,Phone or Utilities Fraud,"3,435",14%
Hawaii,Bank Fraud,176,17%
Hawaii,Credit Card Fraud,425,42%
Hawaii,Employment or Tax-Related Fraud,106,10%
Hawaii,Government Documents or Benefits Fraud,55,5%
Hawaii,Loan or Lease Fraud,63,6%
Hawaii,Other Identity Theft,293,29%
Hawaii,Phone or Utilities Fraud,90,9%
Idaho,Bank Fraud,185,14%
Idaho,Credit Card Fraud,423,31%
Idaho,Employment or Tax-Related Fraud,218,16%
Idaho,Government Documents or Benefits Fraud,57,4%
Idaho,Loan or Lease Fraud,196,14%
Idaho,Other Identity Theft,346,25%
Idaho,Phone or Utilities Fraud,148,11%
Illinois,Bank Fraud,"1,951",12%
Illinois,Credit Card Fraud,"6,108",37%
