Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Anniston-Oxford-Jacksonville, AL Metropolitan Statistical Area",564.5
"Auburn-Opelika, AL Metropolitan Statistical Area",549.1
"Birmingham-Hoover, AL Metropolitan Statistical Area",599.2
"Columbus, GA-AL Metropolitan Statistical Area",721.6
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",573.9
"Decatur, AL Metropolitan Statistical Area",444.6
"Dothan, AL Metropolitan Statistical Area",486.4
"Florence-Muscle Shoals, AL Metropolitan Statistical Area",480.4
"Gadsden, AL Metropolitan Statistical Area",441.7
"Huntsville, AL Metropolitan Statistical Area",583.3
"Mobile, AL Metropolitan Statistical Area",571.3
"Montgomery, AL Metropolitan Statistical Area",668.9
"Tuscaloosa, AL Metropolitan Statistical Area",444.5
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
