Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Flagstaff, AZ Metropolitan Statistical Area",364.1
"Lake Havasu City-Kingman, AZ Metropolitan Statistical Area",699.6
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",681
"Prescott, AZ Metropolitan Statistical Area",809.1
"Show Low, AZ Micropolitan Statistical Area",406.3
"Sierra Vista-Douglas, AZ Metropolitan Statistical Area",671.1
"Tucson, AZ Metropolitan Statistical Area",633.7
"Yuma, AZ Metropolitan Statistical Area",303.9
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
