Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",443.8
"Fort Smith, AR-OK Metropolitan Statistical Area",373.7
"Jonesboro, AR Metropolitan Statistical Area",415.1
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",580.3
"Memphis, TN-MS-AR Metropolitan Statistical Area",663
"Texarkana, TX-AR Metropolitan Statistical Area",594.3
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
