Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Boulder, CO Metropolitan Statistical Area",520.4
"Colorado Springs, CO Metropolitan Statistical Area",632.3
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",643.2
"Fort Collins, CO Metropolitan Statistical Area",517.1
"Grand Junction, CO Metropolitan Statistical Area",521.7
"Greeley, CO Metropolitan Statistical Area",501.5
"Pueblo, CO Metropolitan Statistical Area",537.2
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
