Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Bridgeport-Stamford-Norwalk, CT Metropolitan Statistical Area",501.9
"Hartford-West Hartford-East Hartford, CT Metropolitan Statistical Area",494.6
"New Haven-Milford, CT Metropolitan Statistical Area",541.5
"Norwich-New London, CT Metropolitan Statistical Area",527.4
"Torrington, CT Micropolitan Statistical Area",554.3
"Worcester, MA-CT Metropolitan Statistical Area",462.1
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
