Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",660.1
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",600.6
"Deltona-Daytona Beach-Ormond Beach, FL Metropolitan Statistical Area",756.3
"Gainesville, FL Metropolitan Statistical Area",748.5
"Homosassa Springs, FL Metropolitan Statistical Area",1524.8
"Jacksonville, FL Metropolitan Statistical Area",845.8
"Lakeland-Winter Haven, FL Metropolitan Statistical Area",672.8
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",734.5
"Naples-Immokalee-Marco Island, FL Metropolitan Statistical Area",550.8
"North Port-Sarasota-Bradenton, FL Metropolitan Statistical Area",660.5
"Ocala, FL Metropolitan Statistical Area",707.4
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",712.9
"Palm Bay-Melbourne-Titusville, FL Metropolitan Statistical Area",752.2
"Panama City, FL Metropolitan Statistical Area",614.6
"Pensacola-Ferry Pass-Brent, FL Metropolitan Statistical Area",681.9
"Port St. Lucie, FL Metropolitan Statistical Area",703.1
"Punta Gorda, FL Metropolitan Statistical Area",693.7
"Sebastian-Vero Beach, FL Metropolitan Statistical Area",696.7
"Sebring, FL Metropolitan Statistical Area",602.5
"Tallahassee, FL Metropolitan Statistical Area",639.6
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",748.1
"The Villages, FL Metropolitan Statistical Area",647.6
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
