Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Albany, GA Metropolitan Statistical Area",461.2
"Athens-Clarke County, GA Metropolitan Statistical Area",438.9
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",824
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",567.5
"Brunswick, GA Metropolitan Statistical Area",504.3
"Chattanooga, TN-GA Metropolitan Statistical Area",559.4
"Columbus, GA-AL Metropolitan Statistical Area",721.6
"Dalton, GA Metropolitan Statistical Area",322.4
"Gainesville, GA Metropolitan Statistical Area",439.4
"Macon-Bibb County, GA Metropolitan Statistical Area",709
"Savannah, GA Metropolitan Statistical Area",631.2
"Valdosta, GA Metropolitan Statistical Area",497.7
"Warner Robins, GA Metropolitan Statistical Area",618.3
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
