Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Boise City, ID Metropolitan Statistical Area",560.7
"Coeur d'Alene, ID Metropolitan Statistical Area",534
"Idaho Falls, ID Metropolitan Statistical Area",448.2
"Logan, UT-ID Metropolitan Statistical Area",302.6
"Twin Falls, ID Micropolitan Statistical Area",434.7
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
