Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Bloomington, IL Metropolitan Statistical Area",376.4
"Carbondale-Marion, IL Metropolitan Statistical Area",715.8
"Champaign-Urbana, IL Metropolitan Statistical Area",395.7
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",537.9
"Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area",378.8
"Decatur, IL Metropolitan Statistical Area",461.8
"Kankakee, IL Metropolitan Statistical Area",392.7
"Ottawa-Peru, IL Micropolitan Statistical Area",357.6
"Peoria, IL Metropolitan Statistical Area",400.5
"Rockford, IL Metropolitan Statistical Area",437.9
"Springfield, IL Metropolitan Statistical Area",440.4
"St. Louis, MO-IL Metropolitan Statistical Area",563.1
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
