Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Bloomington, IN Metropolitan Statistical Area",427.4
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",537.9
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",541
"Elkhart-Goshen, IN Metropolitan Statistical Area",322.4
"Evansville, IN-KY Metropolitan Statistical Area",445.3
"Fort Wayne, IN Metropolitan Statistical Area",500.5
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",549.3
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",360.4
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",563.2
"Michigan City-La Porte, IN Metropolitan Statistical Area",438.1
"Muncie, IN Metropolitan Statistical Area",419.5
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",400.3
"Terre Haute, IN Metropolitan Statistical Area",421.2
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
