Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Kansas City, MO-KS Metropolitan Statistical Area",578.8
"Lawrence, KS Metropolitan Statistical Area",484.8
"St. Joseph, MO-KS Metropolitan Statistical Area",366.6
"Topeka, KS Metropolitan Statistical Area",592.1
"Wichita, KS Metropolitan Statistical Area",502.7
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
