Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Bowling Green, KY Metropolitan Statistical Area",503.7
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",541
"Clarksville, TN-KY Metropolitan Statistical Area",553.9
"Elizabethtown-Fort Knox, KY Metropolitan Statistical Area",551
"Evansville, IN-KY Metropolitan Statistical Area",445.3
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",451.1
"Lexington-Fayette, KY Metropolitan Statistical Area",461.6
"London, KY Micropolitan Statistical Area",380.4
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",563.2
"Owensboro, KY Metropolitan Statistical Area",380.6
"Richmond-Berea, KY Micropolitan Statistical Area",361.9
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
