Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Alexandria, LA Metropolitan Statistical Area",426.4
"Baton Rouge, LA Metropolitan Statistical Area",490.4
"Hammond, LA Metropolitan Statistical Area",471.3
"Houma-Thibodaux, LA Metropolitan Statistical Area",377.7
"Lafayette, LA Metropolitan Statistical Area",404.7
"Lake Charles, LA Metropolitan Statistical Area",428
"Monroe, LA Metropolitan Statistical Area",430.7
"New Orleans-Metairie, LA Metropolitan Statistical Area",618
"Shreveport-Bossier City, LA Metropolitan Statistical Area",555.3
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
