Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",489.2
"California-Lexington Park, MD Metropolitan Statistical Area",466.3
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",567.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",581
"Salisbury, MD-DE Metropolitan Statistical Area",513
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",558.4
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
