Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Barnstable Town, MA Metropolitan Statistical Area",505.9
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area",472.2
"Pittsfield, MA Metropolitan Statistical Area",480.7
"Providence-Warwick, RI-MA Metropolitan Statistical Area",451.6
"Springfield, MA Metropolitan Statistical Area",432.3
"Worcester, MA-CT Metropolitan Statistical Area",462.1
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
