Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Ann Arbor, MI Metropolitan Statistical Area",503.1
"Battle Creek, MI Metropolitan Statistical Area",458.4
"Bay City, MI Metropolitan Statistical Area",446.8
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",556.4
"Flint, MI Metropolitan Statistical Area",529.1
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",424.6
"Holland, MI Micropolitan Statistical Area",317.6
"Jackson, MI Metropolitan Statistical Area",827.3
"Kalamazoo-Portage, MI Metropolitan Statistical Area",497.5
"Lansing-East Lansing, MI Metropolitan Statistical Area",432.5
"Monroe, MI Metropolitan Statistical Area",410.2
"Muskegon, MI Metropolitan Statistical Area",441.2
"Niles-Benton Harbor, MI Metropolitan Statistical Area",432.4
"Saginaw, MI Metropolitan Statistical Area",367.1
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",400.3
"Traverse City, MI Micropolitan Statistical Area",435.8
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
