Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Duluth, MN-WI Metropolitan Statistical Area",478.1
"Fargo, ND-MN Metropolitan Statistical Area",359.1
"Grand Forks, ND-MN Metropolitan Statistical Area",250.1
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",371
"Mankato-North Mankato, MN Metropolitan Statistical Area",350.9
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",502
"Rochester, MN Metropolitan Statistical Area",404.4
"St. Cloud, MN Metropolitan Statistical Area",337.9
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
