Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Gulfport-Biloxi-Pascagoula, MS Metropolitan Statistical Area",515.5
"Hattiesburg, MS Metropolitan Statistical Area",492.2
"Jackson, MS Metropolitan Statistical Area",550.6
"Memphis, TN-MS-AR Metropolitan Statistical Area",663
"Meridian, MS Micropolitan Statistical Area",457.8
"Tupelo, MS Micropolitan Statistical Area",518.3
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
