Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Columbia, MO Metropolitan Statistical Area",459.8
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",443.8
"Jefferson City, MO Metropolitan Statistical Area",402.9
"Joplin, MO Metropolitan Statistical Area",431.9
"Kansas City, MO-KS Metropolitan Statistical Area",578.8
"Springfield, MO Metropolitan Statistical Area",500.3
"St. Joseph, MO-KS Metropolitan Statistical Area",366.6
"St. Louis, MO-IL Metropolitan Statistical Area",563.1
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
