Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",532.9
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",507.4
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",536.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",581
"Trenton, NJ Metropolitan Statistical Area",547.7
"Vineland-Bridgeton, NJ Metropolitan Statistical Area",440.8
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
