Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Albuquerque, NM Metropolitan Statistical Area",604
"Farmington, NM Metropolitan Statistical Area",380.6
"Las Cruces, NM Metropolitan Statistical Area",420.2
"Santa Fe, NM Metropolitan Statistical Area",929.7
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
