Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Asheville, NC Metropolitan Statistical Area",661.3
"Burlington, NC Metropolitan Statistical Area",553
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",755.6
"Dunn, NC Micropolitan Statistical Area",514.2
"Durham-Chapel Hill, NC Metropolitan Statistical Area",541.7
"Fayetteville, NC Metropolitan Statistical Area",620.2
"Goldsboro, NC Metropolitan Statistical Area",420.5
"Greensboro-High Point, NC Metropolitan Statistical Area",572.4
"Greenville, NC Metropolitan Statistical Area",494.9
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",447
"Jacksonville, NC Metropolitan Statistical Area",561.1
"Lumberton, NC Micropolitan Statistical Area",381.3
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",727.6
"New Bern, NC Metropolitan Statistical Area",533.7
"Raleigh, NC Metropolitan Statistical Area",592.7
"Rocky Mount, NC Metropolitan Statistical Area",637.4
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",74.2
"Wilmington, NC Metropolitan Statistical Area",597.7
"Winston-Salem, NC Metropolitan Statistical Area",522
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
