Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Akron, OH Metropolitan Statistical Area",574.6
"Canton-Massillon, OH Metropolitan Statistical Area",532.3
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",541
"Cleveland-Elyria, OH Metropolitan Statistical Area",630.6
"Columbus, OH Metropolitan Statistical Area",575.4
"Dayton, OH Metropolitan Statistical Area",519.1
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",451.1
"Lima, OH Metropolitan Statistical Area",474.3
"Mansfield, OH Metropolitan Statistical Area",452.5
"Salem, OH Micropolitan Statistical Area",531.4
"Springfield, OH Metropolitan Statistical Area",424.4
"Toledo, OH Metropolitan Statistical Area",509.1
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",512.3
"Wheeling, WV-OH Metropolitan Statistical Area",445.5
"Wooster, OH Micropolitan Statistical Area",438.7
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",508.7
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
