Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Albany, OR Metropolitan Statistical Area",595
"Bend-Redmond, OR Metropolitan Statistical Area",462.8
"Eugene, OR Metropolitan Statistical Area",536.9
"Medford, OR Metropolitan Statistical Area",556.1
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",555.5
"Roseburg, OR Micropolitan Statistical Area",581.8
"Salem, OR Metropolitan Statistical Area",440
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
