Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area",532.9
"Altoona, PA Metropolitan Statistical Area",522.3
"Chambersburg-Waynesboro, PA Metropolitan Statistical Area",384.8
"East Stroudsburg, PA Metropolitan Statistical Area",658
"Erie, PA Metropolitan Statistical Area",473.2
"Gettysburg, PA Metropolitan Statistical Area",335.7
"Harrisburg-Carlisle, PA Metropolitan Statistical Area",546.8
"Johnstown, PA Metropolitan Statistical Area",455
"Lancaster, PA Metropolitan Statistical Area",378.5
"Lebanon, PA Metropolitan Statistical Area",390.3
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",536.1
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",581
"Pittsburgh, PA Metropolitan Statistical Area",547.2
"Pottsville, PA Micropolitan Statistical Area",456.9
"Reading, PA Metropolitan Statistical Area",455.1
"Scranton--Wilkes-Barre--Hazleton, PA Metropolitan Statistical Area",496.2
"State College, PA Metropolitan Statistical Area",322.7
"Williamsport, PA Metropolitan Statistical Area",417.4
"York-Hanover, PA Metropolitan Statistical Area",458.4
"Youngstown-Warren-Boardman, OH-PA Metropolitan Statistical Area",508.7
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
