Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Aguadilla-Isabela, PR Metropolitan Statistical Area",67.8
"Arecibo, PR Metropolitan Statistical Area",69.6
"Ponce, PR Metropolitan Statistical Area",88.2
"San Germán, PR Metropolitan Statistical Area",71.7
"San Juan-Carolina-Caguas, PR Metropolitan Statistical Area",91.7
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
