Metropolitan Areas: Fraud and Other Reports,
,
Metropolitan Area,Reports per 100K Population
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area",567.5
"Charleston-North Charleston, SC Metropolitan Statistical Area",570.8
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",755.6
"Columbia, SC Metropolitan Statistical Area",765.1
"Florence, SC Metropolitan Statistical Area",472.9
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",575.6
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",504.2
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metropolitan Statistical Area",727.6
"Spartanburg, SC Metropolitan Statistical Area",538.7
"Sumter, SC Metropolitan Statistical Area",525.2
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2016 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.  Reports exclude state-specific data contributor reports.",
,
"Source: Consumer Sentinel Network Data Book 2018, Federal Trade Commission",
